file,check_id,applicable,pass,value,line
agentsmd-sample,measure-chars,true,,2025,
agentsmd-sample,measure-bytes,true,,2031,
agentsmd-sample,measure-words,true,,292,
agentsmd-sample,measure-lines,true,,43,
agentsmd-sample,measure-tokens-approx,true,,506,
agentsmd-sample,measure-h2,true,,4,
agentsmd-sample,measure-bullets,true,,6,
agentsmd-sample,measure-emphasis,true,,0,
agentsmd-sample,measure-pointers,true,,0,
agentsmd-sample,len-lines,true,true,43,
agentsmd-sample,len-bytes,true,true,2031,
agentsmd-sample,cmd-test,true,true,,36
agentsmd-sample,cmd-single,true,false,,
agentsmd-sample,cmd-lint,true,true,,35
agentsmd-sample,cmd-build,true,true,,8
agentsmd-sample,rule-destructive,true,false,,
agentsmd-sample,rule-secrets,true,false,,
agentsmd-sample,rule-injection,true,false,,
agentsmd-sample,verify-done,true,false,,
agentsmd-sample,etiquette,true,false,,
agentsmd-sample,pointers,true,false,0,
agentsmd-sample,no-overview-dump,true,true,0,
agentsmd-sample,emphasis,true,true,0,
agentsmd-sample,vague,true,true,0,
agentsmd-sample,tool-leak,true,true,,
agentsmd-sample,pointer-file,true,false,0,
openai-codex,measure-chars,true,,22485,
openai-codex,measure-bytes,true,,22519,
openai-codex,measure-words,true,,3141,
openai-codex,measure-lines,true,,322,
openai-codex,measure-tokens-approx,true,,5621,
openai-codex,measure-h2,true,,8,
openai-codex,measure-bullets,true,,133,
openai-codex,measure-emphasis,true,,1,
openai-codex,measure-pointers,true,,6,
openai-codex,len-lines,true,false,322,
openai-codex,len-bytes,true,true,22519,
openai-codex,cmd-test,true,true,,66
openai-codex,cmd-single,true,false,,
openai-codex,cmd-lint,true,true,,20
openai-codex,cmd-build,true,false,,
openai-codex,rule-destructive,true,true,,95
openai-codex,rule-secrets,true,false,,
openai-codex,rule-injection,true,false,,
openai-codex,verify-done,true,true,,68
openai-codex,etiquette,true,false,,
openai-codex,pointers,true,true,6,32
openai-codex,no-overview-dump,true,true,0,
openai-codex,emphasis,true,true,1,116
openai-codex,vague,true,false,3,10
openai-codex,tool-leak,true,true,,
openai-codex,pointer-file,true,false,0,
anthropic-cca,measure-chars,true,,3524,
anthropic-cca,measure-bytes,true,,3532,
anthropic-cca,measure-words,true,,469,
anthropic-cca,measure-lines,true,,44,
anthropic-cca,measure-tokens-approx,true,,881,
anthropic-cca,measure-h2,true,,6,
anthropic-cca,measure-bullets,true,,10,
anthropic-cca,measure-emphasis,true,,0,
anthropic-cca,measure-pointers,true,,4,
anthropic-cca,len-lines,true,true,44,
anthropic-cca,len-bytes,true,true,3532,
anthropic-cca,cmd-test,true,true,,6
anthropic-cca,cmd-single,true,false,,
anthropic-cca,cmd-lint,true,true,,7
anthropic-cca,cmd-build,true,false,,
anthropic-cca,rule-destructive,true,false,,
anthropic-cca,rule-secrets,true,false,,
anthropic-cca,rule-injection,true,false,,
anthropic-cca,verify-done,true,false,,
anthropic-cca,etiquette,true,true,,28
anthropic-cca,pointers,true,true,4,18
anthropic-cca,no-overview-dump,true,true,0,
anthropic-cca,emphasis,true,true,0,
anthropic-cca,vague,true,true,0,
anthropic-cca,tool-leak,false,,,
anthropic-cca,pointer-file,false,,,
sentry,measure-chars,true,,7479,
sentry,measure-bytes,true,,7503,
sentry,measure-words,true,,1007,
sentry,measure-lines,true,,137,
sentry,measure-tokens-approx,true,,1870,
sentry,measure-h2,true,,7,
sentry,measure-bullets,true,,11,
sentry,measure-emphasis,true,,4,
sentry,measure-pointers,true,,9,
sentry,len-lines,true,true,137,
sentry,len-bytes,true,true,7503,
sentry,cmd-test,true,true,,14
sentry,cmd-single,true,true,,14
sentry,cmd-lint,true,true,,45
sentry,cmd-build,true,true,,53
sentry,rule-destructive,true,false,,
sentry,rule-secrets,true,false,,
sentry,rule-injection,true,false,,
sentry,verify-done,true,false,,
sentry,etiquette,true,true,,62
sentry,pointers,true,true,9,98
sentry,no-overview-dump,true,true,0,
sentry,emphasis,true,true,3,3
sentry,vague,true,true,0,
sentry,tool-leak,true,true,,
sentry,pointer-file,true,true,1,
cloudflare-workers-sdk,measure-chars,true,,9146,
cloudflare-workers-sdk,measure-bytes,true,,9162,
cloudflare-workers-sdk,measure-words,true,,1107,
cloudflare-workers-sdk,measure-lines,true,,153,
cloudflare-workers-sdk,measure-tokens-approx,true,,2286,
cloudflare-workers-sdk,measure-h2,true,,9,
cloudflare-workers-sdk,measure-bullets,true,,45,
cloudflare-workers-sdk,measure-emphasis,true,,0,
cloudflare-workers-sdk,measure-pointers,true,,17,
cloudflare-workers-sdk,len-lines,true,true,153,
cloudflare-workers-sdk,len-bytes,true,true,9162,
cloudflare-workers-sdk,cmd-test,true,true,,23
cloudflare-workers-sdk,cmd-single,true,false,,
cloudflare-workers-sdk,cmd-lint,true,true,,56
cloudflare-workers-sdk,cmd-build,true,false,,
cloudflare-workers-sdk,rule-destructive,true,false,,
cloudflare-workers-sdk,rule-secrets,true,false,,
cloudflare-workers-sdk,rule-injection,true,true,,112
cloudflare-workers-sdk,verify-done,true,true,,145
cloudflare-workers-sdk,etiquette,true,true,,79
cloudflare-workers-sdk,pointers,true,true,17,40
cloudflare-workers-sdk,no-overview-dump,true,true,0,
cloudflare-workers-sdk,emphasis,true,true,0,
cloudflare-workers-sdk,vague,true,false,2,88
cloudflare-workers-sdk,tool-leak,true,true,,
cloudflare-workers-sdk,pointer-file,true,false,0,
opencode,measure-chars,true,,8748,
opencode,measure-bytes,true,,8748,
opencode,measure-words,true,,1234,
opencode,measure-lines,true,,161,
opencode,measure-tokens-approx,true,,2187,
opencode,measure-h2,true,,6,
opencode,measure-bullets,true,,36,
opencode,measure-emphasis,true,,0,
opencode,measure-pointers,true,,2,
opencode,len-lines,true,true,161,
opencode,len-bytes,true,true,8748,
opencode,cmd-test,true,false,,
opencode,cmd-single,true,false,,
opencode,cmd-lint,true,true,,149
opencode,cmd-build,true,false,,
opencode,rule-destructive,true,false,,
opencode,rule-secrets,true,false,,
opencode,rule-injection,true,false,,
opencode,verify-done,true,false,,
opencode,etiquette,true,true,,7
opencode,pointers,true,true,2,9
opencode,no-overview-dump,true,true,0,
opencode,emphasis,true,true,0,
opencode,vague,true,true,0,
opencode,tool-leak,true,true,,
opencode,pointer-file,true,false,0,
bun,measure-chars,true,,17572,
bun,measure-bytes,true,,17609,
bun,measure-words,true,,2514,
bun,measure-lines,true,,240,
bun,measure-tokens-approx,true,,4393,
bun,measure-h2,true,,8,
bun,measure-bullets,true,,88,
bun,measure-emphasis,true,,7,
bun,measure-pointers,true,,53,
bun,len-lines,true,false,240,
bun,len-bytes,true,true,17609,
bun,cmd-test,true,true,,11
bun,cmd-single,true,true,,34
bun,cmd-lint,true,true,,31
bun,cmd-build,true,true,,18
bun,rule-destructive,true,false,,
bun,rule-secrets,true,false,,
bun,rule-injection,true,false,,
bun,verify-done,true,false,,
bun,etiquette,true,true,,204
bun,pointers,true,true,53,51
bun,no-overview-dump,true,true,0,
bun,emphasis,true,true,7,9
bun,vague,true,true,0,
bun,tool-leak,false,,,
bun,pointer-file,false,,,
nextjs,measure-chars,true,,30650,
nextjs,measure-bytes,true,,30720,
nextjs,measure-words,true,,4334,
nextjs,measure-lines,true,,560,
nextjs,measure-tokens-approx,true,,7662,
nextjs,measure-h2,true,,20,
nextjs,measure-bullets,true,,134,
nextjs,measure-emphasis,true,,1,
nextjs,measure-pointers,true,,37,
nextjs,len-lines,true,false,560,
nextjs,len-bytes,true,true,30720,
nextjs,cmd-test,true,true,,89
nextjs,cmd-single,true,true,,89
nextjs,cmd-lint,true,true,,40
nextjs,cmd-build,true,false,,
nextjs,rule-destructive,true,false,,
nextjs,rule-secrets,true,true,,318
nextjs,rule-injection,true,false,,
nextjs,verify-done,true,true,,481
nextjs,etiquette,true,true,,241
nextjs,pointers,true,true,37,24
nextjs,no-overview-dump,true,false,49,5
nextjs,emphasis,true,true,1,367
nextjs,vague,true,true,0,
nextjs,tool-leak,true,true,,
nextjs,pointer-file,true,true,1,
ghostty,measure-chars,true,,1388,
ghostty,measure-bytes,true,,1388,
ghostty,measure-words,true,,214,
ghostty,measure-lines,true,,39,
ghostty,measure-tokens-approx,true,,347,
ghostty,measure-h2,true,,4,
ghostty,measure-bullets,true,,19,
ghostty,measure-emphasis,true,,0,
ghostty,measure-pointers,true,,3,
ghostty,len-lines,true,true,39,
ghostty,len-bytes,true,true,1388,
ghostty,cmd-test,true,true,,11
ghostty,cmd-single,true,true,,14
ghostty,cmd-lint,true,true,,16
ghostty,cmd-build,true,true,,7
ghostty,rule-destructive,true,false,,
ghostty,rule-secrets,true,false,,
ghostty,rule-injection,true,false,,
ghostty,verify-done,true,false,,
ghostty,etiquette,true,false,,
ghostty,pointers,true,true,3,25
ghostty,no-overview-dump,true,true,5,28
ghostty,emphasis,true,true,0,
ghostty,vague,true,true,0,
ghostty,tool-leak,true,true,,
ghostty,pointer-file,true,false,0,
rails,measure-chars,true,,6905,
rails,measure-bytes,true,,6905,
rails,measure-words,true,,847,
rails,measure-lines,true,,201,
rails,measure-tokens-approx,true,,1726,
rails,measure-h2,true,,8,
rails,measure-bullets,true,,49,
rails,measure-emphasis,true,,0,
rails,measure-pointers,true,,21,
rails,len-lines,true,false,201,
rails,len-bytes,true,true,6905,
rails,cmd-test,true,true,,60
rails,cmd-single,true,false,,
rails,cmd-lint,true,true,,144
rails,cmd-build,true,false,,
rails,rule-destructive,true,false,,
rails,rule-secrets,true,false,,
rails,rule-injection,true,false,,
rails,verify-done,true,false,,
rails,etiquette,true,true,,182
rails,pointers,true,true,21,11
rails,no-overview-dump,true,true,19,5
rails,emphasis,true,true,0,
rails,vague,true,true,0,
rails,tool-leak,true,true,,
rails,pointer-file,true,false,0,
temporal,measure-chars,true,,8528,
temporal,measure-bytes,true,,8528,
temporal,measure-words,true,,1217,
temporal,measure-lines,true,,105,
temporal,measure-tokens-approx,true,,2132,
temporal,measure-h2,true,,7,
temporal,measure-bullets,true,,76,
temporal,measure-emphasis,true,,6,
temporal,measure-pointers,true,,0,
temporal,len-lines,true,true,105,
temporal,len-bytes,true,true,8528,
temporal,cmd-test,true,false,,
temporal,cmd-single,true,false,,
temporal,cmd-lint,true,true,,50
temporal,cmd-build,true,true,,50
temporal,rule-destructive,true,false,,
temporal,rule-secrets,true,false,,
temporal,rule-injection,true,false,,
temporal,verify-done,true,false,,
temporal,etiquette,true,false,,
temporal,pointers,true,false,0,
temporal,no-overview-dump,true,true,22,26
temporal,emphasis,true,false,6,2
temporal,vague,true,false,4,1
temporal,tool-leak,true,true,,
temporal,pointer-file,true,false,0,
karpathy-multica,measure-chars,true,,2345,
karpathy-multica,measure-bytes,true,,2357,
karpathy-multica,measure-words,true,,358,
karpathy-multica,measure-lines,true,,65,
karpathy-multica,measure-tokens-approx,true,,586,
karpathy-multica,measure-h2,true,,4,
karpathy-multica,measure-bullets,true,,21,
karpathy-multica,measure-emphasis,true,,0,
karpathy-multica,measure-pointers,true,,0,
karpathy-multica,len-lines,true,true,65,
karpathy-multica,len-bytes,true,true,2357,
karpathy-multica,cmd-test,false,,,
karpathy-multica,cmd-single,false,,,
karpathy-multica,cmd-lint,false,,,
